Producto,Descripción,U. de S.,Precio público,precio de lista 4
BROVEL-008,CARDISURE 5MG AD046,pz,2039.0,1468.08
BROVEL-010,ORTOLAN 100 GRS,pz,174.0,113.1
BROVEL-011,BROTROPIN SUSP. 50ML,pz,172.0,111.8
BROVEL-016,MELVINAC GEL 125 GR,pz,365.0,237.25
BROVEL-017,CARDISURE 2.5 MG AD045,pz,1777.0,1279.44
BROVEL-019,LICOR DE FORGE 1 LTO,pz,378.0,245.7
BROVEL-020,FERCOBON 100 ML.,pz,484.0,314.6
BROVEL-021,VITAMINA B1 20 ML,pz,207.0,134.55
BROVEL-024,BROSIN UNG 25 GR,pz,208.0,135.2
BROVEL-025,DELTAMICIN 10 GR,PIEZA,21.38,13.9
BROVEL-028,EQUIXUPRINA 450 GRS,pz,2758.0,1792.7
BROVEL-030,POMADA AMARILLA 225 GR,pz,282.0,
BROVEL-031,DELTAMICIN 500 GRS,pz,498.0,323.7
BROVEL-034,MELVINAC 250 ML,pz,243.0,157.95
BROVEL-035,TESTOSTERONA 50 20 ML,pz,598.0,388.7
BROVEL-036,POMADA DE ICTIOL 25 GRS,pz,207.0,134.55
BROVEL-037,VITAMINA C 100 ML BROVEL,pz,246.0,159.9
BROVEL-042,LICOR DE FORGE 120 ML,pz,149.0,96.85
BROVEL-044,DIRULAN 10 ML,pz,225.0,146.25
BROVEL-045,VITAMINA K 100 ML,pz,301.0,195.65
BROVEL-047,AMOXI VET PUPPY,pz,193.0,125.45
BROVEL-048,AMOXI VET SUSP. 200MG 50ML,pz,337.0,219.05
BROVEL-050,PALEOZIN 10ML,pz,391.0,254.15
BROVEL-051,MALACETIC SHAMPOO 355ML,pz,486.0,349.92
BROVEL-052,MALACETIC SPRAY 236ML,pz,622.0,447.84
BROVEL-053,VETORYL 30MG,pz,1755.0,1263.6
BROVEL-054,DANEZONA 100 ML,pz,352.0,228.8
BROVEL-055,KETO-PET 250 MG 20 TAB,pz,370.0,240.5
BROVEL-056,AVERDAN 120 ML,pz,232.0,150.8
BROVEL-057,L-HISTAMIN 100ML,pz,384.0,249.6
BROVEL-058,GASTROPRAZOL EQ GRANULADO 12 SOBRES,pz,796.0,517.4
BROVEL-060,VITAMINA K 30ML,pz,138.0,
BROVEL-065,GASTROPRAZOL 20MG 20 TAB,pz,164.0,106.6
BROVEL-066,VETORYL 5MG,pz,1054.0,758.88
BROVEL-067,VETORYL 10MG AD016,pz,1451.0,1044.72
BROVEL-068,GASTROPRAZOL 5 MG 20 TAB,pz,139.0,90.35
BROVEL-071,EICOSADERM OMEGA 3 LIQUID 236 ML,pz,883.0,635.76
BROVEL-072,FORTHYRON 200MG 100 TAB,pz,423.0,304.56
BROVEL-074,SEDATOR 10ML,pz,3346.0,2409.12
BROVEL-076,DIRULAN 50MG TAB,pz,215.0,139.75
BROVEL-078,EHRLIC-PET 50 20TAB,pz,249.0,161.85
BROVEL-080,OSURNIA 1ML,PIEZA,281.4,202.61
BROVEL-081,DOMIDINE 5ML,pz,2015.0,1450.8
BROVEL-082,FORTHYRON 800MG C/100 TABLETAS,pz,598.0,430.56
BROVEL-083,CANINE PLUS MULTIVITAMIN 30 TAB,pz,265.0,190.8
BROVEL-084,VETRADENT 60 WIPES,pz,472.0,339.84
BROVEL-088,VETORYL 60 MG,pz,2308.0,11661.76
BROVEL-089,KLEAR OTIC 118ML,pz,320.0,230.4
BROVEL-090,COSACTHEN 1ML,pz,3971.0,2859.12
BROVEL-091,EMAVERT 20ML,pz,2556.0,1916.0
BROVEL-094,AVERDAN 500 ML,pz,361.0,234.65
BROVEL-096,DERMABENSS 355ML,pz,578.0,
BROVEL-098,MALASEB 250ML,pz,432.0,311.04
BROVEL-099,PORUS ONE 500MG,pz,2195.0,1580.4
BROVEL-100,COMPOSURE ALL DOGS 45 CHEWS AD075,pz,585.0,421.2
BROVEL-101,COMPOSURE FELINE BITE-SIZE 30 CHEW AD077,pz,293.0,210.96
BROVEL-102,COMPOSURE MINI SMALL 30 CHEW AD076,pz,293.0,210.96
BROVEL-105,TRIZEDETA CRYSTAL FLUSH 118ML AD010,pz,403.0,290.16
BROVEL-113,FELIMAZOLE 2.5MG,pz,796.0,637.0
BROVEL-114,ZYCORTAL,pz,4349.0,3131.28
BROVEL-115,BURSOL 50ML,pz,361.0,234.65
BROVEL-116,CANINE PLUS SENIOR CHEW 600 TAB,pz,542.0,390.24
BROVEL-118,AMBROXIN 75,pz,235.0,152.75
BROVEL-119,AMBROXIN 300,pz,421.0,273.65
BROVEL-121,CATNEY ONE 30X 520MG,pz,1691.0,1217.52
BROVEL-122,MICONAHEX + TRIZ SHAMPOO 236ML      AD08,pz,463.0,333.36
BROVEL-123,ZENALPHA 10ML,pz,2050.0,1332.5
CABALLO-002,WIND AID BREATHING AID JERINGA 1 OZ,pz,0.0,78.0
CABALLO-008,RED CELL 946 AMERICANO,pz,0.0,250.0
CALIFORNIA-,QUERCETOL 50ML,pz,691.0,483.0
CHEMINOVA-,COMPLEJO ENERGETICO 100ML,pz,0.0,232.5
CHEMINOVA-,XILAZINA 10% CHEMINOVA 50ML,pz,0.0,
CHEMINOVA-,CLINDAMICINA 100ML,pz,0.0,423.0
CHEMINOVA-,PAW PROTECTOR 48G,pz,104.0,72.8
CHI9IN-004,DYSCURAL RUMIANTE 100 ML. 9385,pz,593.0,415.1
CHINOIN-002,DYSCURAL RUM INY. 20 ML  9384,pz,221.0,154.7
CHINOIN-005,ALIN DEPOT SUSP INY.  6 ML     9020,pz,182.0,127.4
CHINOIN-006,SCABISIN SUSPENCION 100 ML   9600,pz,160.38,120.28
CHINOIN-007,SCABISIN JABON  INSECTICIDA 100 GR  9605,pz,102.0,71.4
CHINOIN-008,CLOSANTIL ORAL 5% 1 LTO    9356,pz,1460.0,1022.0
CHINOIN-009,SCABISIN SHAMPOO 250 ML  9602,pz,224.0,156.8
CHINOIN-010,ALIN SOL INY 50 ML 9005,pz,299.0,209.3
CHINOIN-011,KOPTISIN OVINE SUSP 100 ML  9351,pz,284.0,198.8
CHINOIN-012,DYSCURAL PORCINO SOL. INY.  20 ML  9382,pz,257.0,179.9
CHINOIN-013,CLOSANTIL ORAL 5 % 100 ML   9355,pz,205.0,143.5
CHINOIN-016,ALIN DEPOT SUSP. INY.  50 ML    9011,pz,809.0,566.3
CHINOIN-017,SURAL 20 ML     9792,pz,331.0,231.7
CHINOIN-021,ALIN SOL. INY. 100 ML   9006,pz,436.0,305.2
CHINOIN-022,ALIN TABLETAS .5MG C/30     9399,pz,134.0,93.8
CHINOIN-025,ENROXTAL SOL. INY 5% 25ML   9389,pz,131.0,91.7
CHINOIN-027,DYSCURAL PVE SOL. INY. 20 ML  9381,pz,257.0,179.9
CHINOIN-028,ENROXTAL SOL ORAL 0.5% 60 ML  9394,pz,179.0,
CHINOIN-029,ENROXTAL TAB. 150MG C/20 9407,pz,426.0,298.2
CHINOIN-033,KOPTISIN OVINE SUSP. ORAL 1000   9353,pz,2037.0,1425.9
CHINOIN-035,PARASTIN PUPPY SUSP. ORAL 60ML 9334,pz,263.0,184.1
CHINOIN-037,SEVERIN NF S SUSP C/60ML   9027,pz,219.0,153.3
CHINOIN-038,SEVERIN NF TAB C/10    9026,pz,235.0,164.5
CHINOIN-039,SYNALAR NEO CREMA 0.01% 40G  9400,pz,263.0,184.1
CHINOIN-040,VACUFIVE 5V C/1 DS  9827,pz,174.1,121.87
CHINOIN-042,DYSCURAL PORC. INY. 100ML  9383,pz,704.0,492.8
CHINOIN-051,PUPPY PARVO-DHP 1 DS 9815,pz,153.7,107.59
CHINOIN-057,RESPIPET 1 DS  9840,pz,160.5,112.35
CHINOIN-058,GRINOLON SOL. OTICO 10 ML 9338,pz,130.0,91.0
CHINOIN-066,GLUTICORT TABS C/20   9401,pz,404.0,282.8
CHINOIN-067,PREDOFTAL SOL. OFTALMICO 5ML 9339,pz,171.0,119.7
CHINOIN-068,SEVERIN SOL. INY. 15ML  9335,pz,300.0,195.0
CHINOIN-069,ZONAVET SOL.  OFTALMICO 5 ML   9345,pz,268.0,187.6
CHINOIN-070,LODYVET SOL. OFTALMICO 5ML  9346,pz,163.0,114.1
CHINOIN-072,ZOPOL GRIN OFTALMICO 10ML  9344,pz,258.0,180.6
CHINOIN-073,DOXMAS 100 C/10 TAB  9408,pz,263.0,184.1
CHINOIN-074,DOXMAS 200 C/10 TABLETAS    9409,pz,362.0,253.4
CHINOIN-075,ITRASEK COMPRIMIDOS C/20 9402,pz,578.0,
CHINOIN-076,OBRYVET SOL. OFTALMICO 10ML 9340,pz,225.0,157.5
CHINOIN-079,ALIN OFTALMICO 10ML,pz,180.0,126.0
CHINOIN-082,GLUTICOR SUSP INY. C/3 FRASCOS 9403,pz,641.0,448.7
CHINOIN-083,OPTHAVET SOL OFTALMICA 5ML,pz,241.0,168.7
CHINOIN-088,SCABISIN SPOT-ON  6.0ML 40-60KG C/3 9423,pz,1050.0,787.5
CHINOIN-092,CEFURIN PET 600MG 12 TABLETAS 9034,pz,441.0,308.7
CHINOIN-093,CEFURIN PET 300MG 30 TABLETAS 9033,pz,662.0,463.4
CHINOIN-096,SCABISIN CLEAR SHAMPOO 350 mL VET 9038,pz,326.0,228.2
CHINOIN-097,SCABISIN FRESH SHAMPOO 350 mL VET 9039,pz,294.0,205.8
CHINOIN-099,SCABISIN NEUTRO JABON 100g VET 9036,pz,129.92,90.94
CHINOIN-102,CEFURIN PET 150MG 30 TABLETAS 9032,pz,452.0,316.4
CHINOIN-103,DYSCURAL VET SUSP ORAL 60 ML      9044,pz,134.0,93.8
CHINOIN-104,CEFURIN PET SUSP. 60ML 9035,pz,284.0,198.8
CHINOIN-108,AMANTADOL T TABLETA C/30,pz,530.0,371.0
CHINOIN-109,AMANTADOL S     9055,pz,572.0,400.4
CHR HANSEN-,CUAJO CUAMIX 500 ML,pz,0.0,120.0
ELANCO-016,AGITA 100 GR,pz,685.47,515.55
ELANCO-017,LANIRAT-CUBO 28 GR (CUBETA 178),PIEZA,14.93,11.1
ELANCO-021,AGITA TARRO 400 GR,pz,1780.05,1318.8
ELANCO-052,ADVANTIX DOG 1X2.5ML    86683695,pz,419.05,
ELANCO-053,ADVANTIX DOG 1X1.0ML   866683792,pz,390.32,233.2
ELANCO-056,PAVENI 100ML,pz,176.85,130.81
ELANCO-059,CREDELIO PLUS 1 TAB 56.25/2.11MG 1-2.8KG,pz,324.45,194.67
ELANCO-060,CREDELIO PLUS 1 TAB 112.5/4.22MG 2.8-5KG,pz,338.87,203.32
ELANCO-061,CREDELIO PLUS 1 TAB 225/8.44MG 5.5-11KG,pz,359.47,215.68
ELANCO-062,CREDELIO PLUS 1 TAB 450/16.88MG 11-22KG,pz,396.55,237.93
ELANCO-063,CREDELIO PLUS 1 TAB 900/33.75MG 22-45KG,pz,427.45,256.47
ELANCO-068,ATOPICA 100MG X 30 BLCS,pz,1398.6,1092.96
ELANCO-070,EQUILIBRIUM ARTIPLUS 60 TAB,pz,755.0,490.0
FARMATEC-,LEPECID 352 ML,pz,223.0,124.24
FARMATEC-,LEPECID 175 ML,pz,180.0,100.29
FARMATEC-,PRIDE EQUINO 950 ML,pz,329.0,183.3
GOODS-018,NAVAJA #7 ANDIS,pz,0.0,779.54
GOODS-019,NAVAJA #4 ANDIS,pz,0.0,911.56
GPOACUARIO-,BIBERON P/CACHORRO NATURANCE 56 ML,pz,0.0,19.5516
HALVET-003,BRAVO 1 LTO,pz,819.0,532.35
HALVET-004,BRAVO SPRAY 100 ML,pz,200.0,130.0
HALVET-005,VIRUSTAD 50 ML,pz,287.0,186.55
HALVET-006,EMETIN INY. 10 ML,pz,83.0,53.95
HALVET-007,TOMO 250 ML,pz,186.0,
HALVET-008,VIRUSTAD 100 ML,pz,439.0,285.35
HALVET-009,TOMO 100 ML,pz,125.0,81.25
HALVET-010,TOMO 60 ML,pz,85.0,55.25
HALVET-011,VIRUSTAD 10 ML,pz,104.0,67.6
HALVET-012,EMETIN INY. 50 ML,pz,274.0,178.1
HALVET-013,GOTIKAS 18 ML,pz,193.0,125.45
HALVET-014,BRAVO 100 ML,pz,136.0,88.4
HALVET-016,BRAVO SHAMPOO 200 ML,pz,162.0,105.3
HALVET-017,ESCUDERM SPRAY,pz,194.0,126.1
HALVET-019,ANIMOX 30 TAB,pz,309.0,200.85
HALVET-028,BENDAVAL GOTAS 18 ML,pz,110.0,71.5
HALVET-029,ENROL CON DIP 100 ML,pz,300.0,195.0
HALVET-030,NEUTRAC 10 ML,pz,68.0,44.2
HALVET-031,CARPROTEC 100MG 30 TAB,pz,804.0,522.6
HALVET-032,ESCUDERM SHAMPOO 250 ML,pz,260.0,169.0
HALVET-035,BRONCOTRIM 100 ML,pz,151.0,98.15
HALVET-036,OPTIGEN 5 ML,pz,104.0,67.6
HALVET-037,RESPIREN 10 ML,pz,94.0,61.1
HALVET-040,BRAVO BIG SPRAY 250ML,pz,415.0,269.75
HALVET-041,DICLOFEN GOTAS 5 ML,CLOF,113.0,
HALVET-045,NEUTRAC 30 TAB.,pz,225.0,146.25
HALVET-046,ENROL C/ DIP. 30TAB,pz,387.0,251.55
HALVET-049,VITARE OMG FRASCO 60 ML,pz,256.0,166.4
HALVET-050,NEUTRAC 50 ML,pz,267.0,173.55
HALVET-051,RESPAIRE 30 TAB,pz,324.0,210.6
HALVET-052,RESULVET 30 TAB,pz,250.0,162.5
HALVET-053,HALFIN 100 ML,pz,259.0,168.35
HALVET-054,BENDAVAL 30 TAB,pz,381.0,247.65
HALVET-055,BRAVO 250 ML,pz,264.0,171.6
HALVET-061,ESCUDERM JABON 80 GR,pz,123.0,79.95
HALVET-062,JABON TERZOO 80 GR,pz,80.0,52.0
HALVET-074,EMETIN ORAL 30ML,pz,100.0,65.0
HALVET-077,NEUTRAC ORAL 18ML,pz,95.0,61.75
HALVET-078,PROMOFER 250ML,pz,308.0,200.2
HALVET-082,DAMAX 11 50 TABLETAS 110MG,pz,559.0,363.35
HALVET-083,DAMAX  50 TABLETAS 330MG,pz,1322.0,859.3
HALVET-086,CARPROTEC 20 TAB,pz,284.0,184.6
HALVET-090,TOMO MASCOTA 60 ML,pz,85.0,55.25
HALVET-091,GOTAS XILOCAM  DE 10 ML,pz,335.0,217.75
HALVET-092,XILOCAM DE 10 ML,pz,207.0,
HALVET-093,XILOCAM DE 50 ML,pz,445.0,289.25
HALVET-096,TOMO MASCOTA 100 ML,pz,125.0,81.25
HALVET-127,IDOL 120 ML,pz,227.0,147.55
HOLLAND-001,ABSORBINE LINIMIENTO 473 ML,pz,466.0,372.8
HOLLAND-002,FLAGYPLEX 60 ML,pz,181.0,126.7
HOLLAND-003,JABON LASSY INSECTICIDA 100 GRS,pz,98.11,68.68
HOLLAND-004,ABSORBINE SUPERPOO 946 ML,pz,342.0,290.7
HOLLAND-006,VERMIPLEX PLUS 10 KG CARTERA C/2 TABLET,pz,93.5,65.45
HOLLAND-007,JABON LASSY MEDICADO 100 GRS,pz,114.0,79.8
HOLLAND-008,VERMIPLEX PUPPY SUSP 40 ML,pz,210.0,147.0
HOLLAND-009,SPECTRUM AMOXICILINA-AC CLAV 50MG 20 TAB,pz,244.0,170.8
HOLLAND-010,VERMIPLEX PUPPY SUSP 120 ML,pz,402.0,281.4
HOLLAND-011,ABSORBINE LINIMENTO 946ML,pz,847.0,677.6
HOLLAND-012,SPECTRUM DOXICICLINA 250 MG 30 TAB,pz,502.0,351.4
HOLLAND-013,SPECTRUM DOXICICLINA 100 MG 30 TAB,pz,316.0,221.2
HOLLAND-016,SHOW SHEEN 946ML,pz,495.0,420.75
HOLLAND-017,MICOPLEX PLUS SHAMPOO 350 ML,pz,369.0,258.3
HOLLAND-018,SPECTRUM CEFALEXINA 75 MG TABLETAS,pz,225.0,157.5
HOLLAND-019,SPECTRUM CEFALEXINA 150 MG TABLETAS,pz,331.0,231.7
HOLLAND-020,SPECTRUM CEFALEXINA 300 MG TABLETAS,pz,516.0,
HOLLAND-021,SHAMPOO LASSY INSECTICIDA 350 ML,pz,222.64,155.85
HOLLAND-022,NUTRIPLEX GEL 120 GR,pz,333.0,233.1
HOLLAND-023,CARTIPLEX 30 TAB,pz,598.0,418.6
HOLLAND-025,BACTODERM SHAMPOO 350 ML,pz,332.0,232.4
HOLLAND-026,SPECTRUM DOXICICLINA 50 MG 30 TAB,pz,222.0,155.4
HOLLAND-027,SPECTRUM AMOXICILINA AC CLAV 500MG 20TAB,pz,713.0,499.1
HOLLAND-030,RELAXICAM 1 MG C/30 TAB,pz,339.0,237.3
HOLLAND-031,VERMIPLEX PUPPY 5 kg  CARTERA C/6 TABLET,CART,89.16,62.41
HOLLAND-032,SHAMPOO LASSY MEDICADO,pz,264.0,184.8
HOLLAND-033,VERMIPLEX PLUS 30 KG CARTERA C/2 TAB.,PIEZA,179.5,125.65
HOLLAND-035,SPECTRUM AMOXICILINA CLAVULA SUSP.30 ML,pz,213.0,149.1
HOLLAND-036,SULFAMETAXASOL-TRIMETROPIM SUSP. 60 ML,pz,166.0,116.2
HOLLAND-037,MULTIVITAMINICO LASSY 30TAB,pz,323.0,226.1
HOLLAND-038,MICOPLEX MAX SHAMPOO,pz,431.0,301.7
HOLLAND-039,PRAMOXINE MAX SHAMPOO 350ML,pz,431.0,301.7
HOLLAND-040,CLOREXIDERM MAX SHAMPOO 350ML,pz,431.0,301.7
HOLLAND-041,OMEGADERM SHAMPOO 350ML,pz,464.0,324.8
HOLLAND-042,MICOPLEX MAX SPRAY 120ML,pz,325.0,227.5
HOLLAND-043,SPECTRUM CIPROFLOXACINA-METRONIDAZOL 700,pz,290.0,203.0
HOLLAND-044,SPECTRUM CLINDAMICINA 50MG TABLETAS,pz,306.0,
HOLLAND-045,SPECTRUM CEFALEXINA 600MG TABLETAS,pz,794.0,555.8
HOLLAND-046,OTIPLEX PLUS 20 ML.,pz,261.0,182.7
HOLLAND-047,DERMOPLEX CREMA 60GR,pz,367.0,256.9
HOLLAND-048,RELAXICAM SUSP 10ML,pz,99.0,69.3
HOLLAND-049,TOPLEX 60GM POMADA,pz,247.0,172.9
HOLLAND-051,SPECTRUM ENROFLOXACINA  SUSP. 40ML,pz,181.0,126.7
HOLLAND-052,SHAMPOO LASSY NEUTRO 350ML,pz,215.0,150.5
HOLLAND-055,SPECTRUM CLINDAMICINA 20 TAB. 25MG TABLE,pz,203.0,142.1
HOLLAND-056,SPECTRUM CLINDAMICINA 125MG TABLETAS,pz,503.0,352.1
HOLLAND-057,SPECTRUM AMOXICILINA-AC CLAV 250MG 20TAB,pz,479.0,335.3
HOLLAND-058,RX CANOPLEX AGES 30 TAB,pz,449.0,314.3
HOLLAND-059,PRAMOXINE MAX SPRAY 150ML,pz,325.0,227.5
HOLLAND-060,DERMOPLEX AGES 30 TABS,pz,437.0,305.9
HOLLAND-061,SPECTRUM ENROFLOXACINA 50MG TABLETAS,pz,141.0,98.7
HOLLAND-063,RX SPECTRUM CLINDAMICINA SOL 25ML,pz,406.0,284.2
HOLLAND-065,FOLIPLEX SHAMPOO 350ML,pz,454.0,317.8
HOLLAND-066,CANOMUNE PUPPY DP,PIEZA,172.17,120.52
HOLLAND-067,CANOMUNE PUPPY 1 DS DHA2PPI,PIEZA,181.5,127.05
HOLLAND-068,CANOMUNE PUPPY DH2PPI+L4,PIEZA,209.0,146.3
HOLLAND-069,RABIMUNE 1DS,PIEZA,77.5,
HOLLAND-071,CANOPLEX CALCIO AD3 30 TABLETAS,pz,296.0,207.2
HOLLAND-072,CANOPLEX JR 30 TAB,pz,412.0,288.4
HOLLAND-074,SPECTRUM ENROFLOXACINA 150MG,pz,321.0,224.7
HOLLAND-077,CARTIPLEX 60 TABLETAS,pz,1043.0,730.1
HOLLAND-080,SKIN-RESTORE 120ML,pz,247.0,172.9
HOLLAND-081,OTI-RESTORE 250ML,pz,247.0,172.9
HOLLAND-083,RELAXICAM 2.5MG C/30 TAB,pz,552.0,386.4
HOLLAND-084,GERIAPLEX,pz,454.0,317.8
HOLLAND-085,RELAXICAM 4.0MG 30 TAB,pz,660.0,462.0
HOLLAND-088,CONDROPRODYL 25 MG,pz,392.0,274.4
HOLLAND-089,CONDROPRODYL 75 MG,pz,544.0,380.8
HOLLAND-090,CONDROPRODYL 100 MG,pz,727.0,508.9
HOLLAND-091,RX FELVITAL R-UT 100ML,pz,309.0,216.3
HOLLAND-092,RX FELVITAL R-L CARNITINA 80ML,pz,283.0,198.1
HOLLAND-093,RX FELVITAL ITRACONAZOL 60ML,pz,309.0,216.3
HOLLAND-094,RX FELVITAL TAURINA 80ML,pz,283.0,198.1
HOLLAND-095,RX GASTROPLEX 20MG 30 TAB,pz,180.0,126.0
HOLLAND-096,TRAMAPLEX SUSP. 10ML,pz,328.0,229.6
HOLLAND-097,CLOREXIDERM MAX SPRAY 120 ML,pz,325.0,227.5
HOLLAND-098,GI-RESTORE 12G,pz,706.0,
HOLLAND-099,EAR CLEAN 120ML,pz,,
HOLLAND-100,HYDRO SKIN JABON 100GR,pz,,
HOLLAND-101,FELVITAL R TRI-DEFENSE 30ML,pz,,
HOLLAND-103,PREDNI-CARE 20MG/20TABLETAS,pz,,
HOLLAND-104,RX. GASTROPLEX OMEPRAZOL 5MG/30TABS,pz,,
HOLLAND-105,RX SPECTRUM DOXICICLINA 100MG (200 TAB),pz,,
HOLLAND-106,RX SPECTRUM DOXICICLINA 250MG (200 TAB),pz,,
HOLLAND-107,OATMEAL SHAMPOO 250ML,pz,,
HOLLAND-108,RX FELVITAL PREDNISOLONA 30ML,pz,,
HOLLAND-109,RX SPECTRUM DOXICICLINA 50MG (200 TAB),pz,,
HOLLIDAY-003,PIMOCARD 1.25 20 TABLETAS 55023,pz,,
HOLLIDAY-004,PIMOCARD 2.5 20 TABLETAS,pz,,
HOLLIDAY-005,PIMOCARD 5 20 TABS 55025,pz,,
HOLLIDAY-006,ENZIMAX 2 BLISTIER C/10 COMP 55042,pz,,
HOLLIDAY-010,RELAY C 10 COMP,pz,,
HOLLIDAY-011,CARDIAL 5MG 3 BLISTERS X 10 COMP 55012,pz,,
HOLLIDAY-013,OL-TRANS FLEX 10 BLISTIER X7 COMPRIMIDOS,pz,,
HOLLIDAY-015,CARDIAL B 2.5MG 2 BLISTERS X10 COM 55020,pz,,
HOLLIDAY-016,CARDIAL B 5MG 2 BLISTER X 10 COMP 55021,pz,,
HOLLIDAY-017,CARDIAL B 10MG 2 LISTERS X 10 COMP.,pz,,
HOLLIDAY-030,PROTELIV TAB 3BLIS X 7COMP 55048,pz,890.0,623.0
HOLLIDAY-032,PROTELIV PASTA 7GR PARA GATOS,pz,550.0,385.0
INNOPHARMA-,BISMUXIL PET´S PASTA ORAL JGA/30ML N0002,pz,460.0,322.0
INNOPHARMA-,CLINDASERIN GEL CAJA C/TUBO C/30G TOP,pz,496.0,347.2
INNOPHARMA-,DOLFENO 40MG CAJA C/20 N0251,pz,516.0,361.2
INNOPHARMA-,DOLFENO 80MG CAJA C/20             N0252,pz,586.0,410.2
INNOPHARMA-,INNOPRAMID GOTAS FCO. 25ML,pz,186.0,130.2
